Year,Deaths,Incidents,Total Passengers
1970,2226,298,1866157152
1971,2228,271,1995858424
1972,3346,344,1834850740
1973,2814,333,2407165400
1974,2621,270,2876067000
1975,1856,316,2989957700
1976,2419,277,3280818376
1977,2449,340,3570049952
1978,2042,356,4001245024
1979,2511,328,4501970300
1980,2203,325,4504846728
1981,1506,272,4536667400
1982,1958,250,4644810148
1983,1921,238,4849717176
1984,1273,234,5169548928
1985,2968,261,5510117224
1986,1763,238,5905491576
1987,2064,277,6332390124
1988,2313,254,6694185472
1989,2507,265,6890394700
1990,1631,261,7182804396
1991,1957,240,8426329324
1992,2299,266,8631817652
1993,1760,275,8510365796
1994,2018,231,9159107624
1995,1828,266,9681250317
1996,2796,251,10293667924
1997,1768,232,10760459552
1998,1721,225,10835281280
1999,1150,221,11474847296
2000,1586,198,12279297869
2001,1539,210,12321643963
2002,1418,197,12120523171
2003,1233,201,12475223039
2004,767,178,14266064126
2005,1463,194,14984455593
2006,1298,192,15910166070
2007,981,169,17120619650
2008,952,189,17281662823
2009,1108,163,17756617870
2010,1130,162,21202852414
2011,828,154,22742174464
2012,800,156,23862561129
2013,459,138,25265502533
2014,1328,122,26869041900
2015,898,123,29027894825
2016,629,102,31142618505
2017,399,101,33613782390